exercise,target,equipment,difficulty,duration
Pushups,Chest & Triceps,Bodyweight,Beginner,10
Declined Pushups,Upper Chest & Triceps,Bodyweight,Intermediate,10
Diamond Pushups,Triceps & Chest,Bodyweight,Advanced,12
Bodyweight Squats,Quads & Glutes,Bodyweight,Beginner,10
Jump Squats,Quads & Cardio,Bodyweight,Intermediate,10
Pistol Squats (Single Leg),Quads & Glutes,Bodyweight,Advanced,15
Pullups,Back & Biceps,Bodyweight,Intermediate,12
Chin-ups,Biceps & Back,Bodyweight,Beginner,10
Muscle-ups,Full Upper Body,Bodyweight,Advanced,15
Dumbbell Bench Press,Chest & Triceps,Dumbbells,Beginner,15
Dumbbell Shoulder Press,Shoulders & Triceps,Dumbbells,Beginner,12
Dumbbell Rows,Back & Biceps,Dumbbells,Beginner,12
Dumbbell Goblet Squats,Quads & Glutes,Dumbbells,Beginner,12
Dumbbell Bicep Curls,Biceps,Dumbbells,Beginner,10
Dumbbell Tricep Overhead Extension,Triceps,Dumbbells,Beginner,10
Lateral Raises,Shoulders,Dumbbells,Beginner,10
Dumbbell Romanian Deadlifts,Hamstrings & Glutes,Dumbbells,Intermediate,12
Barbell Bench Press,Chest & Triceps,Full Gym,Intermediate,15
Deadlifts,Full Body & Posterior Chain,Full Gym,Advanced,20
Lat Pulldowns,Back & Biceps,Full Gym,Beginner,12
Leg Press,Quads & Glutes,Full Gym,Beginner,15
Cable Crossover,Chest,Full Gym,Intermediate,12
Barbell Squats,Quads & Glutes,Full Gym,Intermediate,15
Seated Cable Rows,Back & Biceps,Full Gym,Beginner,12
Overhead Barbell Press,Shoulders & Triceps,Full Gym,Intermediate,12
Plank Hold,Core,Bodyweight,Beginner,5
Russian Twists,Obliques & Core,Bodyweight,Beginner,8
Hanging Leg Raises,Lower Abs & Core,Bodyweight,Intermediate,10
Bicycle Crunches,Core & Obliques,Bodyweight,Beginner,8
Burpees,Cardio & Full Body,Bodyweight,Intermediate,10
Mountain Climbers,Cardio & Core,Bodyweight,Beginner,8
Jumping Jacks,Cardio,Bodyweight,Beginner,5
High Knees,Cardio & Calves,Bodyweight,Beginner,5
Running (Treadmill or Outdoor),Cardio & Legs,Bodyweight,Beginner,20
Dumbbell Thrusters,Full Body & Cardio,Dumbbells,Intermediate,12
Kettlebell/Dumbbell Swings,Glutes & Cardio,Dumbbells,Intermediate,12
Lying Leg Curls,Hamstrings,Full Gym,Beginner,10
Tricep Rope Pushdowns,Triceps,Full Gym,Beginner,10
Preacher Curls,Biceps,Full Gym,Intermediate,12
